,ID,ROOM NAME,LOCALITY,REGION,OLD PRICE,ratings
312,100,MedRooms  173 Paharganj Qutub Road,Ram Nagar,Delhi,1449.0,0
313,173,MedRooms  145 Paschim Vihar,Rohtak Road,Delhi,3049.0,0
314,18,MedRooms  171 IGI Airport NH8,"National Highway 8, Near IGI Domestic Airport, Mahipalpur",Delhi,3749.0,0
315,131,MedRooms  091 WEA Karol Bagh,Karol Bagh,Delhi,1999.0,0
316,174,MedRooms  249 Nehru Place Flyover,Greater Kailash 1,Delhi,3599.0,0
317,111,MedRooms  610 Green Park Extension,Hauz Khas Village,Delhi,4999.0,0
318,126,MedRooms  354 GK2 M Block Market,"E Block,Greater Kailash II",Delhi,2749.0,0
319,9,MedRooms Premium 241 Patel Nagar Metro Station,East Patel Nagar,Delhi,4849.0,0
320,222,MedRooms  255 Karol Bagh Saraswati Marg,Karol Bagh,Delhi,1249.0,0
321,7,MedRooms  632 Kalkaji Mandir,Kalkaji,Delhi,1799.0,0
322,223,MedRooms  274 Dwarka Sector 7,"Ramphal Chowk, Dwarka",Delhi,1949.0,0
323,224,MedRooms  445 Saket Metro,Saiyad ul Ajaib,Delhi,2099.0,0
324,3,MedRooms Flagship 513 Delhi Airport,"A Block,Mahipalpur Extension",Delhi,1999.0,0
325,327,MedRooms  167 Safdarjung Extension,Safdarjung,Delhi,1599.0,0
326,169,MedRooms  169 Near DPS Vasantkunj,Vasant Kunj,Delhi,2099.0,0
327,282,MedRooms  306 Karol Bagh 7A/39,Channa Market,Delhi,1899.0,0
328,166,MedRooms Homes 520 GK 1 M Block Market,Greater Kailash 1,Delhi,3399.0,0
329,292,MedRooms  340 Hazrat Nizamuddin Railway Station,Jangpura B,Delhi,1699.0,0
330,228,MedRooms Premium 334 Naraina,Naraina Vihar,Delhi,3799.0,0
